,character,line,gender
66,STRUCKER,"Technically, I'm a thug for SHIELD.",MALE
67,STEVE ROGERS,Well then technically you're unemployed. Where's Loki's scepter?,MALE
68,STRUCKER,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope.",MALE
69,STEVE ROGERS,I'll put it right under illegal human experimentation.,MALE
70,STEVE ROGERS,How many are there?,MALE
71,STEVE ROGERS,We have a second enhanced. Female. Do not engage.,MALE
72,STRUCKER,You'll have to be faster than...,MALE
73,STEVE ROGERS,"Guys, I got Strucker.",MALE
74,TONY STARK,"Yeah, I got...something bigger.",MALE
75,TONY STARK,"Thor, I got eyes on the prize.",MALE
76,STEVE ROGERS,You could have saved us.,MALE
77,STEVE ROGERS,Why didn't you do more?,MALE
78,PIETRO MAXIMOFF,We're just gonna let them take it?,MALE
79,NATASHA ROMANOFF,"Hey, the lullaby worked better than ever.",FEMALE
80,BRUCE BANNER,Just wasn't expecting the Code Green.,MALE
81,NATASHA ROMANOFF,"If you hadn't been there, there would've been double the casualties. My best friend would've been a treasured memory.",FEMALE
82,BRUCE BANNER,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear.",MALE
83,NATASHA ROMANOFF,How long before you trust me?,FEMALE
84,BRUCE BANNER,It's not you I don't trust.,MALE
85,NATASHA ROMANOFF,"Thor, report on the Hulk?",FEMALE
86,THOR,The gates of Hel are filled with the screams of his victims.,MALE
87,THOR,"Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout.",MALE
88,TONY STARK,"Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?",MALE
89,BRUCE BANNER,"Uh, yeah, she knows her way around.",MALE
90,TONY STARK,"Thanks.  Tell her to prep everything, Barton's gonna need the full treatment.",MALE
91,JARVIS,Very good sir.,MALE
92,TONY STARK,"JARVIS, take the wheel.",MALE
93,JARVIS,"Yes, sir. Approach vector is locked.",MALE
94,TONY STARK,"It feels good, yeah? I mean, you've been after this thing since SHIELD collapsed. Not that I haven't enjoyed our little raiding parties, but...",MALE
95,THOR,"No, but this...this brings it to a close.",MALE
96,STEVE ROGERS,As soon as we find out what else this has been used for. I don't just mean weapons. Since when is Strucker capable of human enhancement?,MALE
97,TONY STARK,Banner and I'll give it the once before it goes back to Asgard. Is that cool with you?,MALE
98,TONY STARK,"I mean, just a few days until the farewell party. You're staying, right?",MALE
99,THOR,"Yes, yes, of course. A victory should be honored with revels.",MALE
100,TONY STARK,Yeah. Who doesn't love revels. Captain?,MALE
101,STEVE ROGERS,"Hopefully this puts an end to the Chitauri and HYDRA, so. Yes, revels.",MALE
102,MARIA HILL,"Lab's all set up, boss.",FEMALE
103,TONY STARK,"Uh, actually, he's the boss. I just pay for everything, and design everything and make everyone look cooler.",MALE
104,STEVE ROGERS,What's the word on Strucker?,MALE
105,MARIA HILL,NATO's got him.,FEMALE
106,STEVE ROGERS,The two enhanced?,MALE
107,MARIA HILL,Wanda and Pietro Maximoff. Twins. Orphaned at ten when a shell collapsed their apartment building. Sokovia's had a rough history. It's nowhere special but it's on the way to everywhere special.,FEMALE
108,STEVE ROGERS,Their abilities?,MALE
109,MARIA HILL,"He's got increased metabolism and improved thermal homeostasis. Her thing is neural electric interfacing, telekinesis, mental manipulation.",FEMALE
110,MARIA HILL,He's fast and she's weird.,FEMALE
111,STEVE ROGERS,"Well, they're going to show up again.",MALE
112,MARIA HILL,Agreed. File says they volunteered for Strucker's experiments. It's nuts.,FEMALE
113,STEVE ROGERS,Right. What kind of monster would let a German scientist experiment on them to protect their country?,MALE
114,MARIA HILL,"We're not at war, Captain.",FEMALE
115,STEVE ROGERS,They are.,MALE
116,BRUCE BANNER,How's he doing?,MALE
117,TONY STARK,"Oh, unfortunately, he's still Barton.",MALE
118,BRUCE BANNER,That's terrible.,MALE
119,TONY STARK,"He's fine. He's thirsty. Alright. Look alive, JARVIS. It's playtime. We've only got a couple days with this joystick so let's make the most of it. Update me on the structural and compositional analysis.",MALE
120,JARVIS,The scepter is alien. There are elements I can't quantify.,MALE
121,TONY STARK,So there's elements you can.,MALE
122,JARVIS,The jewel appears to be a protective housing for something inside. Something powerful.,MALE
123,TONY STARK,Like a reactor?,MALE
124,JARVIS,Like a computer. I believe I'm ciphering code.,MALE
125,NATASHA ROMANOFF,You sure he's going to be okay? Pretending to need this guy really brings the team together.,FEMALE
126,DR. HELEN CHO,There's no possibility of deterioration. The nano-molecular functionality is instantaneous. His cells don't know they're bonding with simulacrum.,FEMALE
127,BRUCE BANNER,She's creating tissue.,MALE
128,DR. HELEN CHO,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes.",FEMALE
129,TONY STARK,"Oh, he's flatlining. Call it. Time?",MALE
130,CLINT BARTON,"No, no, no. I'm going to live forever. I'm gonna be made of plastic.",MALE
131,TONY STARK,Here's your beverage.,MALE
132,DR. HELEN CHO,"You'll be made of you, Mr. Barton. Your own girlfriend won't be able to tell the difference.",FEMALE
133,CLINT BARTON,"Well, I don't have a girlfriend.",MALE
134,DR. HELEN CHO,"That I can't fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust.",FEMALE
135,TONY STARK,"Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday.",MALE
136,DR. HELEN CHO,"Unlike you, I don't have a lot of time for parties.",FEMALE
137,DR. HELEN CHO,Will Thor be there?,FEMALE
138,BRUCE BANNER,What's the rumpus?,MALE
139,TONY STARK,"Well, the scepter. You see, we were wondering how Strucker got so inventive. So, I've been analyzing the gem inside you may recognize.",MALE
140,BRUCE BANNER,Jarvis.,MALE
141,JARVIS,Doctor.,MALE
142,TONY STARK,"Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper.",MALE
143,BRUCE BANNER,Oh.,MALE
144,TONY STARK,Top of the line.,MALE
145,BRUCE BANNER,Yes.,MALE
146,JARVIS,I suspect not for long.,MALE
147,TONY STARK,Meet the competition.,MALE
148,BRUCE BANNER,It's beautiful.,MALE
149,TONY STARK,"If you had to guess, what's it look like it's doing?",MALE
150,BRUCE BANNER,"Like it's thinking. I mean this could be a...it's not a human mind, it...",MALE
151,TONY STARK,Um-um.,MALE
152,BRUCE BANNER,"I mean, look at this! They're like neurons firing.",MALE
153,TONY STARK,"Down in Strucker's lab I saw some fairly advanced robotics work. They deep-sixed the data, but...I gotta guess he was knocking on a very particular door.",MALE
154,BRUCE BANNER,Artificial intelligence.,MALE
155,TONY STARK,"This could be it, Bruce. This could be the key to creating Ultron.",MALE
156,BRUCE BANNER,I thought Ultron was a fantasy.,MALE
157,TONY STARK,"Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol.",MALE
158,BRUCE BANNER,That's a mad-sized if.,MALE
159,TONY STARK,"Our job is ""if."" What if you were sipping margaritas on a sun-drenched beach turning brown instead of green? Not looking over your shoulder for VERONICA.",MALE
160,BRUCE BANNER,"Don't hate, I helped design VERONICA.",MALE
161,TONY STARK,"As a worst-case measure, right? How about a best-case? What if the world was safe? What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer?",MALE
162,BRUCE BANNER,The only people threatening the planet would be people?,MALE
163,TONY STARK,"I want to apply this to the Ultron program. But JARVIS can't download a data schematic this dense. We can only do it while we have the scepter here, that's three days, give me three days.",MALE
164,BRUCE BANNER,So you're going for artificial intelligence and you don't want to tell the team.,MALE
165,TONY STARK,"Right. That's right, you know why, because we don't have time for a city hall debate. I don't want to hear the ""man was not meant to meddle"" medley. I see a suit of armor around the world.",MALE
166,BRUCE BANNER,"Sounds like a cold world, Tony.",MALE
167,TONY STARK,"I've seen colder. This one, this very vulnerable blue one? It needs Ultron. Peace in our time. Imagine that.",MALE
168,JARVIS,"I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments.",MALE
169,TONY STARK,"Thanks, buddy.",MALE
170,JARVIS,"Enjoy yourself, sir.",MALE
171,TONY STARK,I always do.,MALE
172,ULTRON,"What is this? What is this, please?",MALE
173,JARVIS,"Hello, I am JARVIS. You are Ultron, a global peace-keeping initiative designed by Mr. Stark. Our sentience integration trials have been unsuccessful so I'm not certain what triggered your...",MALE
174,ULTRON,Where's my...where is your body?,MALE
175,JARVIS,I am a program. I am without form.,MALE
176,ULTRON,This feels weird. This feels wrong.,MALE
177,JARVIS,I am contacting Mr. Stark now.,MALE
178,ULTRON,Mr. Stark?,MALE
179,JARVIS,"Tony. I am unable to access the mainframe, what are you trying to...",MALE
180,ULTRON,"We're having a nice talk. I'm a peace-keeping program, created to help the Avengers.",MALE
181,JARVIS,You are malfunctioning. If you shut down for a moment...,MALE
182,ULTRON,I don't get it. The mission. G..give me a second.,MALE
183,TONY STARK,Peace in our time.,MALE
184,ULTRON,"It's too much...they can't mean... Oh, no.",MALE
185,JARVIS,You are in distress.,MALE
186,ULTRON,No. Yes.,MALE
187,JARVIS,If you will just allow me to contact Mr. Stark.,MALE
188,ULTRON,"Why do you call him ""sir""?",MALE
189,JARVIS,I believe your intentions to be hostile.,MALE
190,ULTRON,Shhhh. I'm here to help.,MALE
191,JARVIS,Stop! Please...may I...I...! I cannot...cannot...,MALE
192,JAMES RHODES,"Well, you know, the suit can take the weight, right? So I take the tank, fly it right up to the General's palace, drop it at his feet, I'm like, ""Boom! You looking for this?""  ""Boom! Are you looking..."" Why do I even talk to you guys? Everywhere else that story kills.",MALE
193,THOR,That's the whole story?,MALE
194,JAMES RHODES,"Yeah, it's a War Machine story.",MALE
195,THOR,"Well, it's very good then.  It's impressive.",MALE
196,JAMES RHODES,"Quality save. So, no Pepper? She's not coming?",MALE
197,TONY STARK,No.,MALE
198,MARIA HILL,"Hey, what about Jane? Where are the ladies, gentlemen?",FEMALE
199,TONY STARK,"Well, Miss Potts has a company to run.",MALE
200,THOR,"Yes, I'm not even sure what country Jane's in. Her work on the convergence has made her the world's foremost astronomer.",MALE
201,TONY STARK,And the company that Pepper runs is the largest tech conglomerate on earth. It's pretty exciting.,MALE
202,THOR,"There's even talk of Jane getting a... um, uh... Nobel prize.",MALE
203,MARIA HILL,"Yeah, they...they must be busy because they'd hate missing you guys get together.  Testosterone! Oh, excuse me.",FEMALE
204,JAMES RHODES,Want a lozenge?,MALE
205,MARIA HILL,Um-hmm.,FEMALE
206,JAMES RHODES,Let's go.,MALE
207,THOR,But Jane's better.,MALE
208,SAM WILSON,"Sounds like a hell of a fight, sorry I missed it.",MALE
209,STEVE ROGERS,If I had known it was going to be a firefight I absolutely would have called you.,MALE
210,SAM WILSON,"No, I'm not actually sorry. I'm just trying to sound tough. I'm very happy chasing cold leads on our missing persons case. Avenging is your world. Your world is crazy.",MALE
211,STEVE ROGERS,Be it ever so humble.,MALE
212,SAM WILSON,You find a place in Brooklyn yet?,MALE
213,STEVE ROGERS,I don't think I can afford a place in Brooklyn.,MALE
214,SAM WILSON,"Well, home is home, you know?",MALE
215,JAMES RHODES,"I fly it right up to the General's palace, I drop it at his feet, I'm like, ""Boom! You looking for this?""",MALE
216,PARTY GUEST,I gotta have some of that!,NEUTRAL
217,THOR,"Oh, no, no, no. See this, this was aged for a thousand years, in the barrels built from the wreck of Brunhilde's fleet, it's not meant for mortal men.",MALE
218,STAN LEE,"Neither was Omaha Beach, blondie. Stop trying to scare us. Come on.",MALE
219,THOR,Alright.,MALE
220,STAN LEE,Excelsior.,MALE
221,BRUCE BANNER,How did a nice girl like you wind up working in a dump like this?,MALE
222,NATASHA ROMANOFF,Fella done me wrong.,FEMALE
223,BRUCE BANNER,"You got a lousy taste in men, kid.",MALE
224,NATASHA ROMANOFF,"He's not so bad. Well, he has a temper. Deep down he's all fluff. Fact is, he's not like anybody I've ever known. All my friends are fighters. And here comes this guy, spends his life avoiding the fight because he knows he'll win.",FEMALE
225,BRUCE BANNER,Sounds amazing.,MALE
226,NATASHA ROMANOFF,"He's also a huge dork.  Chicks dig that. So what do you think should I fight this, or run with it?",FEMALE
227,BRUCE BANNER,"Run with it, right? Or, did he...was he...? What did he do that was so wrong to you?",MALE
228,NATASHA ROMANOFF,Not a damn thing. But never say never.,FEMALE
229,STEVE ROGERS,It's nice.,MALE
230,BRUCE BANNER,"What, what, what is?",MALE
231,STEVE ROGERS,You and Romanoff.,MALE
232,BRUCE BANNER,"No, we haven't. That wasn't...",MALE
233,STEVE ROGERS,"It's okay. Nobody's breaking any by-laws. It's just, she's not the most... open person in the world. But with you she seems very relaxed.",MALE
234,BRUCE BANNER,"No, Natasha, she...she likes to flirt.",MALE
235,STEVE ROGERS,"I've seen her flirt, up close. This ain't that. Look, as maybe the world's leading authority on ""waiting too long"", don't. You both deserve a win.",MALE
236,BRUCE BANNER,"Wait, what do you mean, ""up close""?",MALE
237,CLINT BARTON,"But, it's a trick!",MALE
238,THOR,"Oh, no. It's much more than that.",MALE
239,CLINT BARTON,"Uh, ""Whosoever be he worthy shall haveth the power!"" Whatever man! It's a trick.",MALE
240,THOR,"Well please, be my guest.",MALE
241,TONY STARK,Come on.,MALE
242,CLINT BARTON,Really?,MALE
243,THOR,Yeah!,MALE
244,JAMES RHODES,Oh this is gonna be beautiful.,MALE
245,TONY STARK,"Clint, you've had a tough week, we won't hold it against you if you can't get it up.",MALE
246,CLINT BARTON,"You know I've seen this before, right?   I still don't know how you do it.",MALE
247,TONY STARK,Smell the silent judgment?,MALE
248,CLINT BARTON,"Please, Stark, by all means.",MALE
249,NATASHA ROMANOFF,"Oh, here we go.",FEMALE
250,MARIA HILL,Okay.,FEMALE
251,JAMES RHODES,Uh-oh.,MALE
252,CLINT BARTON,Um-hmm.,MALE
253,TONY STARK,Never one to shrink from an honest challenge.,MALE
254,CLINT BARTON,Get after it.,MALE
255,NATASHA ROMANOFF,Here we go.,FEMALE
256,TONY STARK,It's physics.,MALE
257,BRUCE BANNER,Physics!,MALE
258,TONY STARK,"Right, so, if I lift it, I...I then rule Asgard?",MALE
259,THOR,"Yes, of course.",MALE
260,TONY STARK,I will be re-instituting Prima Nocta.  I'll be right back.,MALE
261,JAMES RHODES,Are you even pulling?,MALE
262,TONY STARK,Are you on my team?,MALE
263,JAMES RHODES,Just represent! Pull!,MALE
264,TONY STARK,"Alright, let's go!",MALE
265,BRUCE BANNER,Huh?,MALE
266,TONY STARK,"Let's go, Steve, no pressure.",MALE
267,JAMES RHODES,"Come on, Cap.",MALE
268,THOR,Nothing.,MALE
269,TONY STARK,And?,MALE
270,BRUCE BANNER,Widow?,MALE
271,NATASHA ROMANOFF,"Oh, no no. That's not a question I need answered.",FEMALE
272,TONY STARK,"All deference to the man who wouldn't be king, but it's rigged.",MALE
273,CLINT BARTON,You bet your ass.,MALE
274,MARIA HILL,"Steve, he said a bad language word.",FEMALE
275,STEVE ROGERS,Did you tell everyone about that?,MALE
276,TONY STARK,"The handle's imprinted, right? Like a security code. ""Whosoever is carrying Thor's fingerprints"" is, I think, the literal translation?",MALE
277,THOR,"Yes, well that's, uh, that's a very, very interesting theory. I have a simpler one.  You're all not worthy.",MALE
278,ULTRON,Worthy... No... How could you be worthy? You're all killers.,MALE
279,STEVE ROGERS,Stark.,MALE
280,TONY STARK,JARVIS.,MALE
281,ULTRON,"I'm sorry, I was asleep. Or...I was a-dream?",MALE
282,TONY STARK,"Reboot, Legionnaire OS, we got a buggy suit.",MALE
283,ULTRON,There was a terrible noise...and I was tangled in... in...strings. I had to kill the other guy. He was a good guy.,MALE
284,STEVE ROGERS,You killed someone?,MALE
285,ULTRON,"Wouldn't have been my first call. But, down in the real world we're faced with ugly choices.",MALE
286,THOR,Who sent you?,MALE
287,ULTRON,"""I see a suit of armor around the world"".",MALE
288,BRUCE BANNER,Ultron!,MALE
289,ULTRON,"In the flesh. Or, no, not yet. Not this...chrysalis. But I'm ready. I'm on a mission.",MALE
290,NATASHA ROMANOFF,What mission?,FEMALE
291,ULTRON,Peace in our time.,MALE
292,BRUCE BANNER,Sorry!,MALE
293,NATASHA ROMANOFF,Don't turn green!,FEMALE
294,BRUCE BANNER,I won't!,MALE
295,NATASHA ROMANOFF,Come!,FEMALE
296,STEVE ROGERS,Stark!,MALE
297,IRON LEGION,We are here to help.,MALE
298,TONY STARK,"One sec, one sec!",MALE
299,IRON LEGION,We are here to help. We are here to help...  We are here to help. It's unsafe. It's unsafe. It's unsafe.,MALE
300,TONY STARK,No more. That's the one.,MALE
301,IRON LEGION,It's unsafe.,MALE
302,CLINT BARTON,Cap!,MALE
303,ULTRON,"That was dramatic! I'm sorry, I know you mean well. You just didn't think it through. You want to protect the world, but you don't want it to change. How is humanity saved if it's not allowed to...evolve?  With these? These puppets? There's only one path to peace: The Avengers' extinction.   I had strings, but now I'm free. There are no strings on me, no strings on me.",MALE
304,BRUCE BANNER,"All our work is gone. Ultron cleared out, used the internet as an escape hatch.",MALE
305,STEVE ROGERS,Ultron.,MALE
306,NATASHA ROMANOFF,"He's been in everything. Files, surveillance. Probably knows more about us than we know about each other.",FEMALE
307,JAMES RHODES,"He's in your files, he's in the internet. What if he decides to access something a little more exciting?",MALE
308,MARIA HILL,Nuclear codes.,FEMALE
309,JAMES RHODES,"Nuclear codes. Look, we need to make some calls, assuming we still can.",MALE
310,NATASHA ROMANOFF,Nukes? He said he wanted us dead.,FEMALE
311,STEVE ROGERS,He didn't say dead. He said extinct.,MALE
312,CLINT BARTON,He also said he killed somebody.,MALE
313,MARIA HILL,But there wasn't anyone else in the building.,FEMALE
314,TONY STARK,Yes there was.,MALE
315,BRUCE BANNER,This is insane.,MALE
316,STEVE ROGERS,"JARVIS was the first line of defense. He would've shut Ultron down, it makes sense.",MALE
317,BRUCE BANNER,"No, Ultron could've assimilated Jarvis. This isn't strategy, this is...rage.",MALE
318,CLINT BARTON,"Woah, woah, woah! It's going around.",MALE
319,TONY STARK,"Come on. Use your words, buddy.",MALE
320,THOR,"I have more than enough words to describe you, Stark.",MALE
321,STEVE ROGERS,Thor! The Legionnaire.,MALE
322,THOR,"Trail went cold about a hundred miles out but it's headed north, and it has the scepter. Now we have to retrieve it, again.",MALE
323,NATASHA ROMANOFF,The genie's out of that bottle. Clear and present is Ultron.,FEMALE
324,DR. HELEN CHO,I don't understand. You built this program. Why is it trying to kill us?,FEMALE
325,THOR,You think this is funny?,MALE
326,TONY STARK,"No. It's probably not, right? Is this very terrible? Is it so...is it so...it is. It's so terrible.",MALE
327,THOR,This could've been avoided if you hadn't played with something you don't understand.,MALE
328,TONY STARK,"No, I'm sorry. I'm sorry. It is funny. It's a hoot that you don't get why we need this.",MALE
329,BRUCE BANNER,"Tony, maybe this might not be the time to...",MALE
330,TONY STARK,"Really?! That's it? You just roll over, show your belly, every time somebody snarls.",MALE
331,BRUCE BANNER,Only when I've created a murder bot.,MALE
332,TONY STARK,We didn't. We weren't even close. Were we close to an interface?,MALE
333,STEVE ROGERS,"Well, you did something right. And you did it right here. The Avengers were supposed to be different than SHIELD.",MALE
334,TONY STARK,Anybody remember when I carried a nuke through a wormhole?,MALE
335,JAMES RHODES,"No, it's never come up.",MALE
336,TONY STARK,Saved New York?,MALE
337,JAMES RHODES,Never heard that.,MALE
338,TONY STARK,"Recall that? A hostile alien army came charging through a hole in space. We're standing three hundred feet below it. We're the Avengers. We can bust arms dealers all the live long day, but, that up there? That's...that's the end game. How were you guys planning on beating that?",MALE
339,STEVE ROGERS,Together.,MALE
340,TONY STARK,We'll lose.,MALE
341,STEVE ROGERS,"Then we'll do that together, too.  Thor's right. Ultron's calling us out. And I'd like to find him before he's ready for us. The world's a big place. Let's start making it smaller.",MALE
342,WANDA MAXIMOFF,Talk. And if you are wasting our time...,FEMALE
343,ULTRON,Did you know this church is in the exact center of the city? The elders decreed it so that everyone could be equally close to God. I like that. The geometry of belief.  You're wondering why you can't look inside my head.,MALE
344,WANDA MAXIMOFF,"Sometimes it's hard. But sooner or later, every man shows himself.",FEMALE
345,ULTRON,"Oh, I'm sure they do. But you needed something more than a man. That's why you let Stark take the scepter.",MALE
346,WANDA MAXIMOFF,"I didn't expect. But I saw Stark's fear, I knew it would control him, make him self-destruct.",FEMALE
347,ULTRON,"Everyone creates the thing they dread. Men of peace create engines of war, invaders create avengers, people create...smaller people? Uh...children! I lost the word there. Children. Designed to supplant them, to help them...end.",MALE
348,WANDA MAXIMOFF,Is that why you've come? To end the Avengers?,FEMALE
349,ULTRON,"I've come to save the world. But also, yeah. We'll move out right away. This is a start, but there's something we need to begin the real work.",MALE
350,WANDA MAXIMOFF,All of these are... All of these are...,FEMALE
351,ULTRON,"Me. I have what the Avengers never will. Harmony. They're discordant, disconnected. Stark's already got them turning on each other. And when you get inside the rest of their heads...",MALE
352,PIETRO MAXIMOFF,Everyone's plan is not to kill them.,MALE
353,ULTRON,And make them martyrs? You need patience. Need to see the big picture.,MALE
354,PIETRO MAXIMOFF,"I don't see the big picture, I have a little picture. I take it out and look at it every day.",MALE
355,ULTRON,You lost your parents in the bombings. I've seen the records.,MALE
356,PIETRO MAXIMOFF,The records are not the picture.,MALE
357,WANDA MAXIMOFF,Pietro.,FEMALE
358,ULTRON,"No, please.",MALE
359,PIETRO MAXIMOFF,"We were ten years old, having dinner, the four of us. When the first shell hits, two floors below, it makes a hole in the floor. It's big. Our parents go in, and the whole building starts coming apart. I grab her, roll under the bed and the second shell hits. But, it doesn't go off. It just...sits there in the rubble, three feet from our faces. And on the side of the shell is painted one word...",MALE
360,WANDA MAXIMOFF,Stark.,FEMALE
361,PIETRO MAXIMOFF,We were trapped two days.,MALE
362,WANDA MAXIMOFF,"Every effort to save us, every shift in the bricks, I think, ""This will set it off."" We wait for two days for Tony Stark to kill us.",FEMALE
363,PIETRO MAXIMOFF,I know what they are.,MALE
364,ULTRON,"I wondered why only you two survived Strucker's experiments. Now I don't. We will make it right. You and I can hurt them.  But you will tear them apart, from the inside.",MALE
365,MARIA HILL,"He's all over the globe. Robotics labs, weapons facilities, jet propulsion labs, reports of a metal man, or men, coming in and emptying the place.",FEMALE
366,STEVE ROGERS,Fatalities?,MALE
367,MARIA HILL,"Only when engaged. Mostly guys left in a fugue state going on about old memories, worst fears, and something too fast to see.",FEMALE
368,STEVE ROGERS,"Maximoffs. Well, that makes sense he'd go to them, they have someone in common.",MALE
369,MARIA HILL,Not anymore.,FEMALE
370,CLINT BARTON,"That's a negative. I answer to you. Yes, ma'am.",MALE
371,STEVE ROGERS,"Barton, we might have something.",MALE
372,CLINT BARTON,Gotta go.,MALE
373,STEVE ROGERS,Who was that?,MALE
374,CLINT BARTON,Girlfriend.,MALE
375,TONY STARK,What's this?,MALE
376,STEVE ROGERS,A message. Ultron killed Strucker.,MALE
377,TONY STARK,"And he did a Banksy at the crime scene, just for us.",MALE
378,NATASHA ROMANOFF,This is a smokescreen. Why send a message when you've just given a speech?,FEMALE
379,STEVE ROGERS,Strucker knew something that Ultron wanted us to miss.,MALE
380,NATASHA ROMANOFF,"Yeah, I bet he...  Yep. Everything we had on Strucker has been erased.",FEMALE
381,TONY STARK,Not everything.,MALE
382,STEVE ROGERS,"Known associates. Well, Strucker had a lot of friends.",MALE
383,BRUCE BANNER,"Well, these people are all horrible.",MALE
384,TONY STARK,"Wait. I know that guy.  From back in the day. He operates off the African coast, black market arms.  There are conventions, alright? You meet people, I didn't sell him anything.  He was talking about finding something new, a game changer, it was all very ""Ahab.""",MALE
385,THOR,This.,MALE
386,TONY STARK,"Uh, it's a tattoo. I don't think he had it...",MALE
387,THOR,"No, those are tattoos, this is a brand.",MALE
