,Unnamed: 0,character,line,gender
170,170,TONY STARK,"Oh, that's Charles Spencer, by the way. He's a great kid. Computer engineering degree, 3.6 GPA. Had a floor level gig at Intel planned for the fall. But first, he wanted to put a few miles on his soul, before he parked it behind a desk. See the world. Maybe be of service. Charlie didn't want to go to Vegas or Fort Lauderdale, which is what I would do. He didn't go to Paris or Amsterdam, which sounds fun. He decided to spend his summer building sustainable housing for the poor. Guess where, Sokovia.",MALE
171,171,TONY STARK,"He wanted to make a difference, I suppose. I mean, we won't know because we dropped a building on him while we were kicking ass.",MALE
172,172,TONY STARK,"There's no decision-making process here. We need to be put in check! Whatever form that takes, I'm game. If we can't accept limitations, if we're boundary-less, we're no better than the bad guys.",MALE
173,173,STEVE ROGERS,"Tony, someone dies on your watch, you don't give up.",MALE
174,174,TONY STARK,Who said we're giving up?,MALE
175,175,STEVE ROGERS,We are if we're not taking responsibility for our actions. This document just shifts the blames.,MALE
176,176,JAMES RHODES,"I'm sorry. Steve. That - that is dangerously arrogant. This is the United Nations we're talking about. It's not the World Security Council, it's not SHIELD, it's not HYDRA.",MALE
177,177,STEVE ROGERS,"No, but it's run by people with agendas, and agendas change.",MALE
178,178,TONY STARK,"That's good. That's why I'm here. When I realized what my weapons were capable of in the wrong hands, I shut it down and stop manufacturing.",MALE
179,179,STEVE ROGERS,"Tony, you chose to do that. If we sign this, we surrender our right to choose. What if this panel sends us somewhere we don't think we should go? What if there is somewhere we need to go, and they don't let us? We may not be perfect, but the safest hands are still our own.",MALE
180,180,TONY STARK,"If we don't do this now, it's gonna be done to us later. That's the fact. That won't be pretty.",MALE
181,181,WANDA MAXIMOFF,You're saying they'll come for me.,FEMALE
182,182,VISION,We would protect you.,MALE
183,183,NATASHA ROMANOFF,Maybe Tony's right.,FEMALE
184,184,NATASHA ROMANOFF,"If we have one hand on the wheel, we can still steer. If we take it off -",FEMALE
185,185,SAM WILSON,Aren't you the same woman who told the government to kiss her ass a few years ago?,MALE
186,186,NATASHA ROMANOFF,I'm just . . . I'm reading the terrain. We have made . . . some very public mistakes. We need to win their trust back.,FEMALE
187,187,TONY STARK,"Focus up. I'm sorry, did I just mishear you or did you agree with me?",MALE
188,188,NATASHA ROMANOFF,"Oh, I want to take it back now.",FEMALE
189,189,TONY STARK,"No, no, no. You can't retract it. Thank you. Unprecedented. Okay, case closed--I win.",MALE
190,190,STEVE ROGERS,I have to go.,MALE
191,191,PRIEST,"And now, I would like to invite Sharon Carter to come up and say a few words.",MALE
192,192,SHARON CARTER,Margaret Carter was known to most as a founder of SHIELD . . . but I just knew her as Aunt Peggy.,FEMALE
193,193,SHARON CARTER,"She had a photograph in her office. Aunt Peggy standing next to JFK. As a kid, that was pretty cool. But it was a lot to live up to. Which is why I never told anyone we were related.",FEMALE
194,194,SHARON CARTER,"I asked her once how she managed to master diplomacy and espionage in a time when no one wanted to see a woman succeed at either. And she said, compromise where you can. But where you can't, don't. Even if everyone is telling you that something wrong is something right. Even if the whole world is telling you to move . . . it is your duty to plant yourself like a tree, look them in they eye and say "" No, you move.""",FEMALE
195,195,STEVE ROGERS,"When I came out of the ice, I thought everyone I had known was gone. Then I found out that she was alive. I was just lucky to have her.",MALE
196,196,NATASHA ROMANOFF,"She had you back, too.",FEMALE
197,197,STEVE ROGERS,Who else signed?,MALE
198,198,NATASHA ROMANOFF,Tony. Rhodey. Vision.,FEMALE
199,199,STEVE ROGERS,Clint?,MALE
200,200,NATASHA ROMANOFF,Says he's retired.,FEMALE
201,201,STEVE ROGERS,Wanda?,MALE
202,202,NATASHA ROMANOFF,TBD. I'm off to Vienna for the signing of the Accords. There's plenty of room on the jet.,FEMALE
203,203,NATASHA ROMANOFF,Just because it's the path of least resistance doesn't mean it's the wrong path. Staying together is more important than how we stay together.,FEMALE
204,204,STEVE ROGERS,What are we giving up to do it?,MALE
205,205,STEVE ROGERS,"I'm sorry, Nat. I can't sign it.",MALE
206,206,NATASHA ROMANOFF,I know.,FEMALE
207,207,STEVE ROGERS,Then what are you doing here?,MALE
208,208,NATASHA ROMANOFF,I didn't want you to be alone.,FEMALE
209,209,NATASHA ROMANOFF,Come here.,FEMALE
210,210,NEWS ANCHOR,At a special United Nations conference 117 countries have come together to ratify the Sokovia Accords.,MALE
211,211,UN STAFFER,"Excuse me, Miss Romanoff?",FEMALE
212,212,NATASHA ROMANOFF,Yes?,FEMALE
213,213,UN STAFFER,These need your signature.  Thank you.,FEMALE
214,214,NATASHA ROMANOFF,Thanks.,FEMALE
215,215,T'CHALA,I suppose neither of us is used to the spotlight.,MALE
216,216,NATASHA ROMANOFF,"Oh, well, it's not always so flattering.",FEMALE
217,217,T'CHALA,You seem to be doing alright so far. Considering your last trip to Capitol Hill . . . I wouldn't think you would be particularly comfortable in this company.,MALE
218,218,NATASHA ROMANOFF,"Well, I'm not.",FEMALE
219,219,T'CHALA,"That alone makes me glad you're here, Miss Romanoff.",MALE
220,220,NATASHA ROMANOFF,Why? You don't approve of all this?,FEMALE
221,221,T'CHALA,"The Accords, yes. The politics, not really. Two people in a room can get more done than a hundred.",MALE
222,222,T'CHALA,Unless you need to move a piano.,MALE
223,223,T'CHALA,Father.,MALE
224,224,T'CHALA,Son. Miss Romanoff.,MALE
225,225,NATASHA ROMANOFF,"King T'Chaka. Please, allow me to apologize for what happened in Nigeria.",FEMALE
226,226,T'CHALA,Thank you. Thank you for agreeing to all this. I'm sad to hear that Captain Rogers will not be joining us today.,MALE
227,227,NATASHA ROMANOFF,"Yes, so am I.",FEMALE
228,228,MAN ON SPEAKERS,If everyone could please be seated. This assembly is now in session.,MALE
229,229,T'CHALA,That is the future calling. Such a pleasure.,MALE
230,230,NATASHA ROMANOFF,Thank you.,FEMALE
231,231,T'CHALA,"For a man who disapproves of diplomacy, you're getting quite good at it.",MALE
232,232,T'CHALA,"I'm happy, Father.",MALE
233,233,T'CHALA,Thank you.,MALE
234,234,T'CHALA,Thank you.,MALE
235,235,T'CHALA,"When stolen Wakandan vibranium was used to make a terrible weapon, we in Wakanda were forced to question our legacy. Those men and women killed in Nigeria, were part of a goodwill mission from a country too long in the shadows. We will not, however, let misfortune drive us back. We will fight to improve the world we wish to join. I am grateful to the Avengers for supporting this initiative.  Wakanda is proud to extend its hand in peace.",MALE
236,236,T'CHALA,EVERYBODY GET DOWN!,MALE
237,237,SHARON CARTER,"My mom tried to talk me out of enlisting, but, um, not Aunt Peggy. She bought me my first thigh holster.",FEMALE
238,238,STEVE ROGERS,Very practical.,MALE
239,239,SHARON CARTER,And stylish.,FEMALE
240,240,STEVE ROGERS,CIA has you stationed over here now?,MALE
241,241,SHARON CARTER,"In Berlin, Joint Terrorism Task Force.",FEMALE
242,242,STEVE ROGERS,Right. Right. Sounds fun.,MALE
243,243,SHARON CARTER,"I know, right?",FEMALE
244,244,STEVE ROGERS,I've been meaning to ask you. When you were spying on me from across the hall . . . .,MALE
245,245,SHARON CARTER,You mean when I was doing my job.,FEMALE
246,246,STEVE ROGERS,Did Peggy know?,MALE
247,247,SHARON CARTER,She kept so many secrets. I didn't want her to have one from you.  Thanks for walking me back.,FEMALE
248,248,STEVE ROGERS,Sure.,MALE
249,249,SAM WILSON,Steve. There's something you gotta see.,MALE
250,250,NEWS ANCHOR,A bomb hidden in a news van . . .,MALE
251,251,SHARON CARTER,Who's coordinating?,FEMALE
252,252,NEWS ANCHOR,. . . ripped through the UN building in Vienna.,MALE
253,253,SHARON CARTER,Good. They're solid. Forensics?,FEMALE
254,254,NEWS ANCHOR,"More than 70 people have been injured. At least 12 are dead, including Wakanda's King T'Chaka. Officials have released a video of a suspect who they have identified as James Buchanan Barnes, the Winter Soldier. The infamous HYDRA agent, linked to numerous acts of terrorism and political assassinations.",MALE
255,255,SHARON CARTER,I have to go to work.,FEMALE
256,256,SHARON CARTER,"Call MI-6, see if we can get Micro Forensics to hurry this up. We need the whole team here in two hours or it's not worth it.",FEMALE
257,257,NATASHA ROMANOFF,I'm very sorry.,FEMALE
258,258,T'CHALA,"In my culture death is not the end. It's more of a . . . stepping-off point. You reach out with both hands and Bast and Sekhmet, they lead you into the green veldt where . . . you can run forever.",MALE
259,259,NATASHA ROMANOFF,That sounds very peaceful.,FEMALE
260,260,T'CHALA,My father thought so.  I am not my father.,MALE
261,261,NATASHA ROMANOFF,T'Challa. Task force will decide who brings in Barnes.,FEMALE
262,262,T'CHALA,"Don't bother, Miss Romanoff. I'll kill him myself.",MALE
263,263,NATASHA ROMANOFF,Yeah?,FEMALE
264,264,STEVE ROGERS,You alright?,MALE
265,265,NATASHA ROMANOFF,"Ah, yeah, thanks. I got lucky.  I know how much Barnes means to you. I really do. Stay home. You'll only make this worse. For all of us. Please.",FEMALE
266,266,STEVE ROGERS,Are you saying you'll arrest me?,MALE
267,267,NATASHA ROMANOFF,No. Someone will. If you interfere. That's how it works now.,FEMALE
268,268,STEVE ROGERS,"If he's this far gone, Nat, I should be the one to bring him in.",MALE
269,269,NATASHA ROMANOFF,Why?,FEMALE
270,270,STEVE ROGERS,Because I'm the one least likely to die trying.,MALE
271,271,NATASHA ROMANOFF,Shit.,FEMALE
272,272,SAM WILSON,She tell you to stay out of it?  Might have a point.,MALE
273,273,STEVE ROGERS,He'd do it for me.,MALE
274,274,SAM WILSON,"1945, maybe. I just want to make sure we considered all our options. The people that shoot at you usually wind up shooting at me.",MALE
275,275,SHARON CARTER,"Tips have been pouring in since that footage went public. Everybody thinks the Winter soldier goes to their gym. Most of it's noise. Except for this.  My boss expects a briefing, pretty much now . . . so that's all the head start you're gonna get.",FEMALE
276,276,STEVE ROGERS,Thank you.,MALE
277,277,SHARON CARTER,And you're gonna have to hurry. We have orders to shoot on sight.,FEMALE
278,278,HELMUT ZEMO,Homecoming. One. One. Fright Car.,MALE
279,279,GERMAN INNKEEPER,Mr. Müller. I have your breakfast.,MALE
280,280,HELMUT ZEMO,I could smell it before I opened the door. Thank you.,MALE
281,281,GERMAN INNKEEPER,"Side of bacon and black coffee. Again. I can make you something different, if you like.",MALE
282,282,HELMUT ZEMO,It's okay. This is wonderful.,MALE
283,283,GERMAN INNKEEPER,I'll put this on your . . .,MALE
284,284,HELMUT ZEMO,"No, no. It's okay. I can manage. Thank you Mrs. Leiber.",MALE
285,285,BUCKY,"How are they? Are they good? Give me six, thank you.",MALE
286,286,SAM WILSON,"Heads up, Cap. German Special Forces, approaching from the south.",MALE
287,287,STEVE ROGERS,Understood.  Do you know me?,MALE
288,288,BUCKY,You're Steve. I read about you in a museum.,MALE
289,289,SAM WILSON,They've set the perimeter.,MALE
290,290,STEVE ROGERS,I know you're nervous. And you have plenty of reason to be. But you're lying.,MALE
291,291,BUCKY,I wasn't in Vienna. I don't do that anymore.,MALE
292,292,SAM WILSON,They're entering the building.,MALE
293,293,STEVE ROGERS,"Well, the people who think you did are coming here now. And they're not planning on taking you alive.",MALE
294,294,BUCKY,That's smart. Good strategy.,MALE
295,295,SAM WILSON,They're on the roof. I'm compromised.,MALE
296,296,STEVE ROGERS,"This doesn't have end in a fight, Buck.",MALE
297,297,BUCKY,It always ends in a fight.,MALE
298,298,SAM WILSON,5 seconds.,MALE
299,299,STEVE ROGERS,You pulled me from the river. Why?,MALE
300,300,BUCKY,I don't know.,MALE
301,301,SAM WILSON,3 seconds!,MALE
302,302,STEVE ROGERS,"Yes, you do.",MALE
303,303,SAM WILSON,Breach! Breach! Breach!,MALE
304,304,GSG-9 SOLDIER,Shoot the door!,MALE
305,305,STEVE ROGERS,"Buck, stop! You're gonna kill someone.",MALE
306,306,BUCKY,I'm not gonna kill anyone.,MALE
307,307,GSG-9 SOLDIER,Suspect has broken containment! He's headed down the east stairwell!,MALE
308,308,STEVE ROGERS,"Come on, man.",MALE
309,309,STEVE ROGERS,"Sam, southwest rooftop.",MALE
310,310,SAM WILSON,Who the hell's the other guy?,MALE
311,311,STEVE ROGERS,About to find out.,MALE
312,312,STEVE ROGERS,Sam.,MALE
313,313,SAM WILSON,Got him.,MALE
314,314,GSG-9 DRIVER,Stand down! Stand down!,MALE
315,315,STEVE ROGERS,"Sam, I can't shake this guy.",MALE
316,316,SAM WILSON,Right behind you.,MALE
317,317,JAMES RHODES,"Stand down, now.  Congratulations, Cap. You're a criminal.",MALE
318,318,GSG-9 SOLDIER,What's the order?,MALE
319,319,JAMES RHODES,Your highness.,MALE
320,320,VISION,A pinch of paprika.' A pinch.,MALE
321,321,WANDA MAXIMOFF,Is that paprikash?,FEMALE
322,322,VISION,I thought it might . . . lift your spirits.,MALE
323,323,WANDA MAXIMOFF,Spirits lifted.,FEMALE
324,324,VISION,"In my defense, I haven't actually ever . . . eaten anything before, so . . .",MALE
325,325,WANDA MAXIMOFF,May I?,FEMALE
326,326,VISION,Please. Wanda?,MALE
327,327,WANDA MAXIMOFF,Hmm.,FEMALE
328,328,VISION,"No one dislikes you, Wanda.",MALE
329,329,WANDA MAXIMOFF,Thanks.,FEMALE
330,330,VISION,"Oh, you're welcome. No, it's a . . . involuntary response in their amygdala. They can't help but be afraid of you.",MALE
331,331,WANDA MAXIMOFF,Are you?,FEMALE
332,332,VISION,"My amygdala is synthetic, so . . .",MALE
